generacion	nodo	recorrido					ciudades
1			35		128.54991600427138			[1, 17, 5, 7, 10, 19, 2, 25, 24, 16, 23, 4, 14, 8, 20, 3, 22, 9, 18, 12, 21, 15, 13, 6, 11, 1]
1			36		128.83043470188215			[1, 3, 4, 15, 22, 19, 14, 10, 25, 7, 5, 23, 12, 20, 8, 21, 16, 6, 2, 24, 18, 11, 17, 9, 13, 1]
1			37		128.85075693682597			[1, 11, 22, 3, 6, 16, 14, 12, 9, 8, 17, 21, 2, 10, 18, 5, 7, 25, 19, 20, 13, 4, 24, 23, 15, 1]
1			38		129.11507158952764			[1, 9, 17, 20, 4, 25, 22, 21, 16, 3, 19, 15, 14, 2, 13, 7, 23, 12, 6, 11, 8, 5, 10, 18, 24, 1]
1			39		129.57075385169975			[1, 11, 6, 21, 19, 24, 2, 7, 9, 5, 14, 10, 20, 8, 12, 15, 13, 16, 4, 17, 23, 18, 3, 22, 25, 1]
1			40		129.61913860281413			[1, 12, 2, 9, 17, 5, 7, 14, 18, 11, 16, 20, 19, 6, 10, 23, 22, 15, 3, 4, 8, 25, 21, 13, 24, 1]
1			41		130.09094472444684			[1, 3, 18, 23, 5, 17, 22, 4, 16, 24, 20, 8, 13, 7, 15, 2, 10, 9, 14, 11, 19, 12, 21, 25, 6, 1]
1			42		130.23763437826213			[1, 4, 25, 22, 23, 17, 20, 19, 3, 18, 21, 10, 14, 11, 5, 6, 7, 16, 9, 24, 15, 2, 8, 12, 13, 1]
1			43		130.6301211293605			[1, 4, 9, 8, 2, 15, 20, 3, 22, 18, 23, 24, 12, 5, 11, 25, 14, 7, 10, 6, 21, 16, 13, 19, 17, 1]
1			44		131.47610758831362			[1, 22, 24, 20, 5, 21, 12, 19, 8, 3, 7, 9, 2, 23, 17, 15, 25, 13, 4, 11, 18, 6, 10, 16, 14, 1]
1			45		131.62665823086397			[1, 23, 3, 14, 15, 19, 21, 12, 7, 18, 5, 20, 6, 8, 4, 22, 24, 13, 2, 16, 10, 9, 25, 17, 11, 1]
1			46		131.98279724916057			[1, 10, 17, 6, 20, 2, 25, 18, 14, 3, 7, 21, 16, 22, 15, 11, 23, 24, 12, 5, 9, 13, 4, 8, 19, 1]
1			47		132.72959857348297			[1, 11, 13, 2, 18, 4, 23, 14, 21, 12, 17, 3, 7, 6, 5, 24, 15, 22, 8, 20, 19, 25, 10, 16, 9, 1]
1			48		132.87856487463802			[1, 21, 9, 22, 24, 19, 10, 13, 17, 5, 25, 18, 3, 2, 15, 7, 4, 16, 6, 11, 14, 23, 20, 8, 12, 1]
1			49		132.9346106568313			[1, 23, 22, 12, 19, 2, 24, 18, 14, 9, 13, 6, 10, 17, 5, 4, 21, 3, 11, 25, 7, 8, 20, 16, 15, 1]
1			50		133.00226339459087			[1, 11, 25, 20, 19, 16, 5, 23, 7, 3, 15, 17, 2, 22, 21, 9, 14, 8, 4, 18, 12, 10, 6, 24, 13, 1]
2			1		99.51375983551046			[1, 23, 25, 12, 3, 17, 9, 14, 10, 19, 11, 8, 15, 2, 4, 22, 18, 13, 6, 20, 21, 24, 16, 5, 7, 1]
2			2		128.42402077851764			[1, 17, 4, 20, 21, 10, 5, 7, 13, 25, 6, 22, 12, 9, 8, 15, 14, 18, 24, 16, 19, 2, 3, 23, 11, 1]
2			3		147.42906229181844			[1, 3, 18, 10, 5, 24, 20, 22, 17, 13, 12, 7, 9, 6, 23, 14, 4, 25, 15, 2, 19, 16, 21, 11, 8, 1]
2			4		121.48993055246495			[1, 2, 11, 15, 19, 20, 7, 17, 25, 24, 3, 9, 14, 6, 12, 22, 13, 8, 10, 16, 23, 5, 21, 18, 4, 1]
2			5		120.4394026356903			[1, 21, 22, 18, 24, 8, 4, 16, 5, 3, 25, 20, 10, 15, 6, 23, 11, 2, 17, 9, 7, 19, 14, 12, 13, 1]
2			6		125.81377401030815			[1, 12, 25, 17, 14, 19, 20, 22, 2, 15, 18, 11, 24, 5, 13, 6, 4, 9, 21, 23, 10, 7, 16, 8, 3, 1]
2			7		118.2476534391859			[1, 22, 25, 2, 4, 9, 16, 5, 24, 13, 17, 6, 7, 10, 8, 12, 3, 11, 18, 21, 23, 15, 19, 14, 20, 1]
2			8		138.4314705719901			[1, 18, 7, 23, 25, 8, 10, 2, 4, 11, 15, 5, 20, 6, 12, 13, 19, 9, 21, 22, 16, 3, 24, 17, 14, 1]
2			9		133.95077349817646			[1, 25, 3, 2, 8, 21, 5, 9, 24, 6, 17, 13, 20, 19, 18, 23, 12, 16, 22, 15, 4, 10, 14, 7, 11, 1]
2			10		132.55086416480117			[1, 23, 10, 6, 4, 19, 21, 8, 2, 20, 24, 18, 7, 9, 15, 22, 13, 16, 11, 3, 12, 5, 14, 17, 25, 1]
2			11		114.11631819634133			[1, 23, 17, 22, 11, 2, 6, 7, 9, 5, 12, 25, 24, 20, 19, 10, 13, 15, 21, 16, 14, 8, 3, 18, 4, 1]
2			12		132.06740820550635			[1, 20, 17, 16, 6, 11, 7, 8, 19, 22, 25, 14, 12, 15, 24, 9, 10, 23, 5, 2, 3, 21, 18, 13, 4, 1]
2			13		129.8488163523132			[1, 9, 6, 25, 2, 3, 17, 22, 18, 4, 14, 24, 16, 10, 11, 21, 12, 20, 13, 15, 23, 5, 7, 8, 19, 1]
2			14		138.4268309659624			[1, 12, 19, 8, 21, 23, 20, 24, 6, 11, 13, 9, 16, 3, 4, 22, 5, 14, 25, 10, 18, 15, 2, 7, 17, 1]
2			15		144.78051746673572			[1, 21, 10, 24, 20, 23, 17, 14, 5, 7, 6, 19, 16, 4, 13, 8, 11, 25, 12, 18, 3, 22, 9, 2, 15, 1]
2			16		134.27768400880913			[1, 3, 25, 17, 13, 21, 7, 24, 11, 2, 22, 14, 10, 8, 16, 5, 18, 23, 15, 12, 20, 4, 6, 9, 19, 1]
2			17		128.08128698806166			[1, 25, 8, 13, 2, 16, 6, 3, 15, 9, 19, 18, 17, 12, 4, 24, 22, 14, 5, 23, 21, 20, 10, 7, 11, 1]
2			18		133.92013322190522			[1, 17, 4, 7, 10, 19, 2, 25, 24, 16, 5, 23, 14, 20, 8, 3, 22, 6, 18, 12, 21, 15, 13, 9, 11, 1]
2			19		139.59442450961149			[1, 11, 17, 20, 4, 16, 22, 12, 9, 3, 19, 21, 14, 2, 13, 7, 23, 25, 6, 24, 8, 5, 10, 18, 15, 1]
2			20		133.64610805141035			[1, 11, 2, 21, 19, 5, 7, 14, 9, 24, 16, 10, 20, 6, 12, 23, 22, 15, 4, 17, 8, 18, 3, 13, 25, 1]
2			21		122.64239149529568			[1, 3, 18, 23, 5, 17, 22, 4, 13, 24, 20, 8, 14, 7, 15, 2, 10, 16, 9, 11, 19, 12, 21, 25, 6, 1]
2			22		137.70323318822543			[1, 4, 24, 8, 2, 21, 20, 19, 22, 3, 23, 9, 12, 5, 17, 15, 25, 7, 10, 11, 18, 6, 13, 16, 14, 1]
2			23		143.0287521801618			[1, 23, 17, 6, 20, 2, 25, 18, 14, 3, 7, 21, 16, 22, 15, 11, 24, 13, 12, 5, 10, 9, 4, 8, 19, 1]
2			24		132.61616406931122			[1, 11, 9, 22, 24, 19, 23, 13, 21, 5, 17, 18, 3, 2, 15, 7, 4, 16, 6, 20, 14, 25, 10, 8, 12, 1]
2			25		131.0318778004739			[1, 23, 22, 12, 19, 2, 24, 18, 14, 9, 15, 6, 10, 17, 5, 4, 21, 3, 11, 25, 7, 8, 20, 16, 13, 1]
2			26		120.42777274216292			[1, 23, 4, 12, 21, 17, 5, 14, 10, 25, 6, 16, 15, 9, 8, 22, 18, 13, 24, 20, 19, 2, 3, 11, 7, 1]
2			27		128.8940865125219			[1, 5, 21, 24, 19, 2, 11, 6, 13, 4, 20, 22, 12, 18, 3, 25, 8, 17, 15, 16, 14, 9, 10, 7, 23, 1]
